"code","product_name","brands","categories","pnns_groups_1","labels","countries_en","quantity","url","ingredients_text","allergens","traces","nutriscore_grade","nutriscore_score","energy_100g","fat_100g","saturated-fat_100g","carbohydrates_100g","sugars_100g","fiber_100g","proteins_100g","salt_100g","nova_group","image_url","image_small_url","image_ingredients_url","image_ingredients_small_url","image_nutrition_url"
"710069312104","Tomato Sauce - Premium Italian Passata","Tuscanini","Condiments, Sauces, Sauces tomate","Fat and sauces","Sans OGM, en:Non GMO project","Canada,World","500.0 g","http://world-en.openfoodfacts.org/product/0710069312104/tomato-sauce-premium-italian-passata-tuscanini","","","","B","2.0","139.5","0.0","0.0","6.6666666666667","5.0","1.6666666666667","1.6666666666667","0.27083333333332","","https://images.openfoodfacts.org/images/products/071/006/931/2104/front_fr.8.400.jpg","https://images.openfoodfacts.org/images/products/071/006/931/2104/front_fr.8.200.jpg","","","https://images.openfoodfacts.org/images/products/071/006/931/2104/nutrition_fr.10.400.jpg"
"710069661035","Tablette chocolat noir aux noisettes","","Snacks, Snacks sucrés, Cacao et dérivés, Chocolats, Chocolats aux noisettes","Sugary snacks","","Canada","100.0 g","http://world-en.openfoodfacts.org/product/0710069661035/tablette-chocolat-noir-aux-noisettes","","","","E","27.0","2343.0","40.0","20.0","52.0","44.0","4.0","8.0","0.0","","https://images.openfoodfacts.org/images/products/071/006/966/1035/front_fr.3.400.jpg","https://images.openfoodfacts.org/images/products/071/006/966/1035/front_fr.3.200.jpg","","","https://images.openfoodfacts.org/images/products/071/006/966/1035/nutrition_fr.5.400.jpg"
"710535280753","Algerian Dates","Tayeb","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Fruits, Dattes","Fruits and vegetables","","Canada","","http://world-en.openfoodfacts.org/product/0710535280753/algerian-dates-tayeb","","","","D","13.0","1179.9","2.0","0.0","74.0","64.0","","2.0","0.0","","https://images.openfoodfacts.org/images/products/071/053/528/0753/front_fr.3.400.jpg","https://images.openfoodfacts.org/images/products/071/053/528/0753/front_fr.3.200.jpg","","","https://images.openfoodfacts.org/images/products/071/053/528/0753/nutrition_fr.5.400.jpg"
"710535280968","Grenadine","","Boissons, Sirops, Sirops aromatisés, Sirops de grenadine","Beverages","","Canada","","http://world-en.openfoodfacts.org/product/0710535280968/grenadine","","","","","","1111.4","0.0","0.0","96.875","96.875","0.0","0.0","","","https://images.openfoodfacts.org/images/products/071/053/528/0968/front_fr.3.400.jpg","https://images.openfoodfacts.org/images/products/071/053/528/0968/front_fr.3.200.jpg","","","https://images.openfoodfacts.org/images/products/071/053/528/0968/nutrition_fr.5.400.jpg"
"710535281552","Sauce kebab","","en:kebab-sauces","Fat and sauces","","Canada","","http://world-en.openfoodfacts.org/product/0710535281552/sauce-kebab","","","","D","16.0","976.3","20.0","0.0","13.333333333333","0.0","0.0","0.0","3.0","","https://images.openfoodfacts.org/images/products/071/053/528/1552/front_fr.3.400.jpg","https://images.openfoodfacts.org/images/products/071/053/528/1552/front_fr.3.200.jpg","","","https://images.openfoodfacts.org/images/products/071/053/528/1552/nutrition_fr.5.400.jpg"
"710535281576","Sauce algérienne","Tayeb","Condiments, Sauces, Sauces algériennes, en:groceries","Fat and sauces","","Canada","0.5 L","http://world-en.openfoodfacts.org/product/0710535281576/sauce-algerienne-tayeb","","","","E","23.0","1309.6","26.7","6.67","20.0","6.67","0.0","0.0","2.75","","https://images.openfoodfacts.org/images/products/071/053/528/1576/front_fr.3.400.jpg","https://images.openfoodfacts.org/images/products/071/053/528/1576/front_fr.3.200.jpg","","","https://images.openfoodfacts.org/images/products/071/053/528/1576/nutrition_fr.5.400.jpg"
"710535281613","Sauce Algérienne","","Condiments, Sauces, Sauces algériennes","Fat and sauces","","Canada","","http://world-en.openfoodfacts.org/product/0710535281613/sauce-algerienne","","","","E","22.0","1311.0","26.666666666667","6.6666666666667","20.0","0.0","0.0","0.0","2.75","","https://images.openfoodfacts.org/images/products/071/053/528/1613/front_fr.3.400.jpg","https://images.openfoodfacts.org/images/products/071/053/528/1613/front_fr.3.200.jpg","","","https://images.openfoodfacts.org/images/products/071/053/528/1613/nutrition_fr.5.400.jpg"
"710535282467","Tomato Paste","Tayeb","en:tomato-pastes","Fruits and vegetables","","Canada","","http://world-en.openfoodfacts.org/product/0710535282467/tomato-paste-tayeb","","","","A","-1.0","339.7","0.0","0.0","18.8","12.5","6.25","6.25","0.156","","https://images.openfoodfacts.org/images/products/071/053/528/2467/front_es.3.400.jpg","https://images.openfoodfacts.org/images/products/071/053/528/2467/front_es.3.200.jpg","","","https://images.openfoodfacts.org/images/products/071/053/528/2467/nutrition_es.5.400.jpg"
"710996000433","Balsamic Glaze Classic","Nonna Pia's","Condiments, Sauces, en:balsamic-vinegars","Fat and sauces","No gluten, No GMOs, Non GMO project","Canada,World","0.25 L","http://world-en.openfoodfacts.org/product/0710996000433/balsamic-glaze-classic-nonna-pia-s","Balsamic vinegar of Modena, Italy, granulated cane sugar (non GMO). ALLERGENS: Contains naturally occurring sulphites.","","en:sulphur-dioxide-and-sulphites","A","","1673.6","0.0","0.0","100.0","80.0","0.0","0.0","0.0","","https://images.openfoodfacts.org/images/products/071/099/600/0433/front_en.42.400.jpg","https://images.openfoodfacts.org/images/products/071/099/600/0433/front_en.42.200.jpg","https://images.openfoodfacts.org/images/products/071/099/600/0433/ingredients_en.26.400.jpg","https://images.openfoodfacts.org/images/products/071/099/600/0433/ingredients_en.26.200.jpg","https://images.openfoodfacts.org/images/products/071/099/600/0433/nutrition_en.44.400.jpg"
"711381316610","Coutry Ketchup","Stonewall Kitchen","en:ketchup","Fat and sauces","","Canada","","http://world-en.openfoodfacts.org/product/0711381316610/coutry-ketchup-stonewall-kitchen","","","","D","14.0","557.9","0.66666666666667","0.66666666666667","33.333333333333","26.666666666667","0.0","2.0","1.3333333333333","","https://images.openfoodfacts.org/images/products/071/138/131/6610/front_fr.3.400.jpg","https://images.openfoodfacts.org/images/products/071/138/131/6610/front_fr.3.200.jpg","","","https://images.openfoodfacts.org/images/products/071/138/131/6610/nutrition_fr.5.400.jpg"
